회차,추첨일,첫번째,두번째,세번째,네번째,다섯번째,여섯번째,보너스,1등 당첨금액,표준편차,당첨번호 합계,당첨번호
1,2002-12-07,10,23,29,33,37,40,16,0원,9.98,172,10-23-29-33-37-40
2,2002-12-14,9,13,21,25,32,42,2,"2,002,006,800원",11.13,142,9-13-21-25-32-42
3,2002-12-21,11,16,19,21,27,31,30,"2,000,000,000원",6.64,125,11-16-19-21-27-31
4,2002-12-28,14,27,30,31,40,42,2,0원,9.2,184,14-27-30-31-40-42
5,2003-01-04,16,24,29,40,41,42,3,0원,9.78,192,16-24-29-40-41-42
6,2003-01-11,14,15,26,27,40,42,34,"6,574,451,700원",10.86,164,14-15-26-27-40-42
7,2003-01-18,2,9,16,25,26,40,42,0원,12.39,118,2-9-16-25-26-40
8,2003-01-25,8,19,25,34,37,39,9,0원,10.97,162,8-19-25-34-37-39
9,2003-02-01,2,4,16,17,36,39,14,0원,14.24,114,2-4-16-17-36-39
10,2003-02-08,9,25,30,33,41,44,6,"6,430,437,900원",11.48,182,9-25-30-33-41-44
11,2003-02-15,1,7,36,37,41,42,14,"4,780,152,300원",16.72,164,1-7-36-37-41-42
12,2003-02-22,2,11,21,25,39,45,44,"1,348,845,700원",14.88,143,2-11-21-25-39-45
13,2003-03-01,22,23,25,37,38,42,26,0원,8.03,187,22-23-25-37-38-42
14,2003-03-08,2,6,12,31,33,40,15,"9,375,048,300원",14.56,124,2-6-12-31-33-40
15,2003-03-15,3,4,16,30,31,37,13,"17,014,245,000원",13.36,121,3-4-16-30-31-37
16,2003-03-22,6,7,24,37,38,40,33,"4,377,146,100원",14.28,152,6-7-24-37-38-40
17,2003-03-29,3,4,9,17,32,37,1,"5,349,491,200원",13.25,102,3-4-9-17-32-37
18,2003-04-05,3,12,13,19,32,35,29,0원,11.3,114,3-12-13-19-32-35
19,2003-04-12,6,30,38,39,40,43,26,"40,722,959,400원",12.57,196,6-30-38-39-40-43
20,2003-04-19,10,14,18,20,23,30,41,"19,352,212,800원",6.39,115,10-14-18-20-23-30
21,2003-04-26,6,12,17,18,31,32,21,"797,475,400원",9.45,116,6-12-17-18-31-32
22,2003-05-03,4,5,6,8,17,39,25,"4,552,194,900원",12.32,79,4-5-6-8-17-39
23,2003-05-10,5,13,17,18,33,42,44,"4,317,947,700원",12.45,128,5-13-17-18-33-42
24,2003-05-17,7,8,27,29,36,43,6,0원,13.4,150,7-8-27-29-36-43
25,2003-05-24,2,4,21,26,43,44,16,"24,227,745,300원",16.61,140,2-4-21-26-43-44
26,2003-05-31,4,5,7,18,20,25,31,"3,495,069,900원",8.15,79,4-5-7-18-20-25
27,2003-06-07,1,20,26,28,37,43,27,"9,543,982,500원",13.38,155,1-20-26-28-37-43
28,2003-06-14,9,18,23,25,35,37,1,"1,700,361,100원",9.59,147,9-18-23-25-35-37
29,2003-06-21,1,5,13,34,39,40,11,"3,552,594,000원",16.17,132,1-5-13-34-39-40
30,2003-06-28,8,17,20,35,36,44,4,"8,728,555,500원",12.54,160,8-17-20-35-36-44
31,2003-07-05,7,9,18,23,28,35,32,"8,106,672,900원",9.93,120,7-9-18-23-28-35
32,2003-07-12,6,14,19,25,34,44,11,"1,634,528,300원",12.58,142,6-14-19-25-34-44
33,2003-07-19,4,7,32,33,40,41,9,"14,903,517,600원",15,157,4-7-32-33-40-41
34,2003-07-26,9,26,35,37,40,42,2,"3,056,918,000원",11.27,189,9-26-35-37-40-42
35,2003-08-02,2,3,11,26,37,43,39,"5,054,598,200원",16.06,122,2-3-11-26-37-43
36,2003-08-09,1,10,23,26,28,40,31,"16,014,475,800원",12.64,128,1-10-23-26-28-40
37,2003-08-16,7,27,30,33,35,37,42,"4,985,999,400원",10.01,169,7-27-30-33-35-37
38,2003-08-23,16,17,22,30,37,43,36,"5,374,866,400원",10.08,165,16-17-22-30-37-43
39,2003-08-30,6,7,13,15,21,43,8,"2,623,748,800원",12.46,105,6-7-13-15-21-43
40,2003-09-06,7,13,18,19,25,26,6,"1,147,652,400원",6.58,108,7-13-18-19-25-26
41,2003-09-13,13,20,23,35,38,43,34,0원,10.69,172,13-20-23-35-38-43
42,2003-09-20,17,18,19,21,23,32,1,"6,899,280,100원",5.02,130,17-18-19-21-23-32
43,2003-09-27,6,31,35,38,39,44,1,"17,749,630,800원",12.35,193,6-31-35-38-39-44
44,2003-10-04,3,11,21,30,38,45,39,"3,362,155,800원",14.66,148,3-11-21-30-38-45
45,2003-10-11,1,10,20,27,33,35,17,"8,356,417,800원",12.23,126,1-10-20-27-33-35
46,2003-10-18,8,13,15,23,31,38,39,"5,327,758,800원",10.5,128,8-13-15-23-31-38
47,2003-10-25,14,17,26,31,36,45,27,"3,250,042,400원",10.67,169,14-17-26-31-36-45
48,2003-11-01,6,10,18,26,37,38,3,"2,415,673,600원",12.33,135,6-10-18-26-37-38
49,2003-11-08,4,7,16,19,33,40,30,"1,967,504,600원",12.98,119,4-7-16-19-33-40
50,2003-11-15,2,10,12,15,22,44,1,"5,227,061,400원",13.26,105,2-10-12-15-22-44
